SCHOOLJAAR;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENUMMER;GEMEENTENAAM;PLAATSNAAM;PROVINCIE;ONDERWIJSTYPE VO;VAKCODE;AFKORTING VAKNAAM;VAKNAAM;SCHOOLEXAMEN BEOORDELING;TOTAAL AANTAL SCHOOLEXAMENS MET BEOORDELING;AANTAL SCHOOLEXAMENS MET BEOORDELING MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL SCHOOLEXAMENS MET CIJFER;GEM. CIJFER TOTAAL AANTAL SCHOOLEXAMENS;AANTAL SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL CENTRALE EXAMENS;GEM. CIJFER TOTAAL AANTAL CENTRALE EXAMENS;AANTAL CENTRALE EXAMENS MEETELLEND VOOR DIPLOMA;GEM. CIJFER CENTRALE EXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER CIJFERLIJST
2011;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0131;ak;aardrijkskunde;;0;0;54;6,2;54;6,2;54;5,9;54;5,9;6,1
2011;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0161;in;informatica;;0;0;18;6,6;0;0,0;0;0,0;0;0,0;6,6
2011;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0251;m&o;management en organisatie;;0;0;43;6,2;43;6,2;43;5,9;43;5,9;6,1
2011;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0260;mu;muziek;;0;0;14;6,8;14;6,8;14;6,1;14;6,1;6,4
2011;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0270;te;tekenen;;0;0;19;6,8;19;6,8;19;6,2;19;6,2;6,6
2011;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0353;lo;lichamelijke opvoeding;G;30;30;0;0,0;0;0,0;0;0,0;0;0,0;0,0
2011;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0353;lo;lichamelijke opvoeding;V;80;80;0;0,0;0;0,0;0;0,0;0;0,0;0,0
2011;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0432;voda;vooropleiding dansvakonderwijs;;0;0;4;8,0;0;0,0;0;0,0;0;0,0;8,0
2011;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1001;netl;Nederlandse taal en literatuur;;0;0;114;6,3;114;6,3;114;6,2;114;6,2;6,3
2011;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1002;entl;Engelse taal en literatuur;;0;0;114;6,3;114;6,3;114;6,2;114;6,2;6,3
2011;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1003;fatl;Franse taal en literatuur;;0;0;9;6,6;9;6,6;9;5,8;9;5,8;6,3
2011;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1004;dutl;Duitse taal en literatuur;;0;0;35;6,8;35;6,8;35;6,0;35;6,0;6,4
2011;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1018;biol;biologie;;0;0;35;6,3;35;6,3;35;6,5;35;6,5;6,3
2011;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1019;maat;maatschappijleer;;0;0;114;6,7;0;0,0;0;0,0;0;0,0;6,7
