SCHOOLJAAR;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENUMMER;GEMEENTENAAM;PLAATSNAAM;PROVINCIE;ONDERWIJSTYPE VO;VAKCODE;AFKORTING VAKNAAM;VAKNAAM;SCHOOLEXAMEN BEOORDELING;TOTAAL AANTAL SCHOOLEXAMENS MET BEOORDELING;AANTAL SCHOOLEXAMENS MET BEOORDELING MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL SCHOOLEXAMENS MET CIJFER;GEM. CIJFER TOTAAL AANTAL SCHOOLEXAMENS;AANTAL SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL CENTRALE EXAMENS;GEM. CIJFER TOTAAL AANTAL CENTRALE EXAMENS;AANTAL CENTRALE EXAMENS MEETELLEND VOOR DIPLOMA;GEM. CIJFER CENTRALE EXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER CIJFERLIJST;GEM. CIJFER REKENTOETS
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0131;ak;aardrijkskunde;;0;0;37;6,3;37;6,3;37;6,3;37;6,3;6,3;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0161;in;informatica;;0;0;22;6,6;0;,0;0;,0;0;,0;6,6;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0251;m&o;management en organisatie;;0;0;22;6,1;22;6,1;22;6,0;22;6,0;6,1;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0260;mu;muziek;;0;0;5;7,1;5;7,1;5;6,6;5;6,6;7,0;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0270;te;tekenen;;0;0;8;6,6;8;6,6;8;6,0;8;6,0;6,4;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0353;lo;lichamelijke opvoeding (gemeenschappelijk deel);G;37;37;0;,0;0;,0;0;,0;0;,0;,0;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0353;lo;lichamelijke opvoeding (gemeenschappelijk deel);V;49;49;0;,0;0;,0;0;,0;0;,0;,0;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0432;voda;vooropleiding dansvakonderwijs;;0;0;1;8,0;0;,0;0;,0;0;,0;8,0;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1001;netl;Nederlandse taal en literatuur;;0;0;88;6,5;88;6,5;88;5,9;88;5,9;6,3;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1002;entl;Engelse taal en literatuur;;0;0;88;6,5;88;6,5;88;6,8;88;6,8;6,7;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1003;fatl;Franse taal en literatuur;;0;0;4;6,5;4;6,5;4;7,0;4;7,0;6,8;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1004;dutl;Duitse taal en literatuur;;0;0;23;6,5;23;6,5;23;6,1;23;6,1;6,3;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1018;biol;biologie;;0;0;37;6,1;37;6,1;37;5,9;37;5,9;6,1;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1019;maat;maatschappijleer;;0;0;88;6,6;0;,0;0;,0;0;,0;6,6;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1020;ckv;culturele en kunstzinnige vorming;G;35;35;0;,0;0;,0;0;,0;0;,0;,0;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1020;ckv;culturele en kunstzinnige vorming;V;53;53;0;,0;0;,0;0;,0;0;,0;,0;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1021;ges;geschiedenis;;0;0;45;6,3;45;6,3;45;6,2;45;6,2;6,2;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1022;econ;economie;;0;0;61;6,2;61;6,2;61;5,9;61;5,9;6,1;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1023;nat;natuurkunde;;0;0;31;6,1;31;6,1;31;5,9;31;5,9;6,1;,0
