SCHOOLJAAR;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENUMMER;GEMEENTENAAM;PLAATSNAAM;PROVINCIE;ONDERWIJSTYPE VO;VAKCODE;AFKORTING VAKNAAM;VAKNAAM;SCHOOLEXAMEN BEOORDELING;TOTAAL AANTAL SCHOOLEXAMENS MET BEOORDELING;AANTAL SCHOOLEXAMENS MET BEOORDELING MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL SCHOOLEXAMENS MET CIJFER;GEM. CIJFER TOTAAL AANTAL SCHOOLEXAMENS;AANTAL SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL CENTRALE EXAMENS;GEM. CIJFER TOTAAL AANTAL CENTRALE EXAMENS;AANTAL CENTRALE EXAMENS MEETELLEND VOOR DIPLOMA;GEM. CIJFER CENTRALE EXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER CIJFERLIJST;GEM. CIJFER REKENTOETS
2015;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0131;ak;aardrijkskunde;;0;0;10;6,6;10;6,6;10;6,1;10;6,1;6,5;,0
2015;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0161;in;informatica;;0;0;17;7,2;0;,0;0;,0;0;,0;7,2;,0
2015;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0251;m&o;management en organisatie;;0;0;11;6,4;11;6,4;11;6,0;11;6,0;6,2;,0
2015;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0260;mu;muziek;;0;0;3;6,9;3;6,9;3;7,6;3;7,6;7,3;,0
2015;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0270;te;tekenen;;0;0;8;6,8;8;6,8;8;6,3;8;6,3;6,6;,0
2015;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0301;anw;algemene natuurwetenschappen;;0;0;68;7,1;0;,0;0;,0;0;,0;7,1;,0
2015;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0353;lo;lichamelijke opvoeding (gemeenschappelijk deel);G;45;45;0;,0;0;,0;0;,0;0;,0;,0;,0
2015;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0353;lo;lichamelijke opvoeding (gemeenschappelijk deel);V;24;24;0;,0;0;,0;0;,0;0;,0;,0;,0
2015;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0371;kcv;klassieke culturele vorming;;0;0;26;8,1;0;,0;0;,0;0;,0;8,1;,0
2015;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0432;voda;vooropleiding dansvakonderwijs;;0;0;3;7,7;0;,0;0;,0;0;,0;7,7;,0
2015;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1001;netl;Nederlandse taal en literatuur;;0;0;72;6,4;72;6,4;72;6,0;72;6,0;6,3;,0
2015;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1002;entl;Engelse taal en literatuur;;0;0;72;7,0;72;7,0;72;6,8;72;6,8;6,9;,0
2015;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1003;fatl;Franse taal en literatuur;;0;0;10;6,8;10;6,8;10;6,6;10;6,6;6,7;,0
